node_A,node_B
0,7039
0,7090
0,7734
0,8240
1,5907
1,8165
2,7619
2,7801
2,8897
2,8958
2,9452
3,5860
3,5914
3,6358
3,8457
4,5032
4,5530
4,7310
5,5625
5,5639
5,8917
6,6312
6,7144
6,7482
7,8784
7,9605
7,9800
8,5004
8,8765
9,5616
9,8907
10,6524
10,8061
12,5292
12,6244
12,7850
13,6387
13,8314
14,7270
14,8993
15,6432
15,6526
15,7044
15,7728
15,7895
15,8425
15,8638
15,9290
16,6309
16,7217
16,8142
16,8613
16,9235
17,9752
18,6840
18,8719
18,9095
19,6707
19,7064
19,8019
21,7134
21,9177
22,5805
22,8113
23,6814
23,9806
24,5327
24,5393
24,6151
24,6775
24,7249
25,7974
26,7154
26,7910
27,5041
27,6048
28,5967
28,7195
28,7811
28,8378
29,5026
29,5636
29,7393
30,6954
30,7974
30,8470
33,5481
33,6906
33,7097
33,7194
33,7427
33,9402
34,7543
34,8640
34,8772
34,9734
37,5836
37,7342
38,9427
39,8370
39,8394
40,5945
40,8235
40,9775
41,5396
41,7445
41,7682
41,8823
42,5032
43,6181
44,5353
44,5965
44,7354
44,7748
45,7622
46,6710
46,7419
46,9456
47,6334
47,6666
47,9541
48,6091
48,9107
49,5619
49,5621
49,6405
49,6445
50,6737
51,5956
51,9519
52,5254
52,5374
52,9581
54,5453
54,5633
54,6964
54,7108
54,9967
55,7870
55,8145
55,9435
56,6031
56,6647
57,5765
57,6866
57,7342
57,8892
58,6510
58,6960
58,7707
60,8362
61,5461
61,6614
61,8072
61,8330
61,8839
61,9665
62,6440
62,6963
62,7461
62,7609
62,9603
63,5123
63,9839
64,8766
64,8913
64,9457
65,6668
65,7151
65,7435
66,7917
66,9610
67,5890
67,8960
68,7255
68,7678
68,7882
68,9010
69,5112
69,6371
69,8983
70,6221
71,9511
71,9719
72,5750
72,6579
73,5535
73,6107
73,6529
73,7720
73,8816
73,9469
74,5044
75,5178
75,6349
76,5300
76,6899
76,7003
79,6479
80,5095
81,7041
82,7258
83,6034
83,6398
83,7728
83,8209
83,9234
83,9355
84,5308
85,8747
85,9364
86,7429
86,8643
86,9743
88,6050
90,6821
90,8444
91,5978
91,6315
91,7019
92,8947
93,5678
93,7241
93,9997
94,5115
94,6870
94,8268
95,7098
95,7441
96,8917
96,9084
96,9496
97,6304
97,8553
97,9090
97,9346
98,8765
98,9331
99,6136
99,8068
99,9155
100,5908
100,7388
101,7845
101,8302
102,5821
102,6367
102,7375
102,9603
103,5317
103,6077
103,8864
103,9015
104,5241
106,8183
108,9272
108,9425
108,9905
109,5522
110,5935
111,5189
111,9417
112,5340
112,5684
112,9272
113,6704
113,8596
115,7316
115,9438
115,9454
116,7851
116,8563
117,5741
118,6332
118,6621
118,6867
118,7094
118,8705
118,9341
119,6198
119,8727
119,9183
120,6195
120,6808
120,8149
121,7863
122,6606
122,6800
122,7902
122,8550
122,8558
123,6507
123,8534
123,9142
124,6845
124,8450
124,9566
124,9586
124,9743
125,9035
126,8720
127,5298
127,8896
128,5643
128,5964
128,6237
128,6974
129,6558
129,9738
130,8680
131,8263
131,8735
131,9309
131,9526
132,7555
133,6865
133,7908
133,9847
134,5183
135,5497
135,9496
137,6971
138,5300
138,9564
138,9615
139,7283
139,8091
140,8432
141,6673
142,5664
142,8993
142,9614
143,7710
143,7939
144,7053
145,5965
145,6469
145,9861
146,6095
146,6824
146,9997
147,5514
147,5562
147,5992
147,6788
148,5783
149,7598
149,8253
150,5305
150,6326
151,9267
152,5804
153,6405
153,6651
154,8690
154,9084
156,5652
156,6269
156,6499
156,7640
157,5248
157,6001
157,7865
157,9298
158,5271
158,6990
158,7578
159,5045
159,5049
160,5244
160,6790
160,9332
161,7041
161,9262
162,5168
162,5314
162,7497
162,8299
162,9053
163,7821
164,5365
164,6080
164,6820
164,7870
164,8900
164,9601
164,9874
165,5965
166,6603
166,8865
167,8526
168,5438
168,6154
168,7742
168,7743
168,8420
168,9544
169,6279
169,8406
169,9657
170,5825
170,6306
170,7588
171,7216
172,5395
172,5767
172,5945
172,7394
172,9398
173,5215
173,8627
174,6409
174,8643
174,9152
174,9597
174,9647
175,5209
175,6498
176,5288
176,5440
176,6511
176,8498
176,8931
177,6315
177,7679
177,8239
178,5374
178,5386
178,8166
179,6106
179,6332
179,7440
179,7827
180,9164
181,5624
181,5728
181,6302
182,5074
182,6294
182,9527
183,6730
185,5556
185,7366
186,8358
187,7798
187,9695
188,7236
188,8642
189,7192
189,8780
190,8329
191,6051
191,7339
191,7939
191,8507
192,5537
192,8440
192,9913
193,6884
193,7526
193,7688
193,8361
193,8995
193,9766
194,6320
194,6618
194,7144
194,9512
195,6963
195,7096
195,8143
195,9708
196,5783
196,6247
196,7337
197,7041
197,8796
198,6174
199,5060
199,7961
199,8919
199,8931
199,9798
200,7598
201,6438
202,7571
202,8657
203,6410
203,7990
203,9839
204,5338
204,5834
204,6979
204,7038
204,7858
205,5131
205,6167
205,6528
205,7788
205,8062
206,5009
206,5064
206,6066
206,7728
206,7783
206,9842
207,5134
207,6373
207,6477
207,7430
207,7906
207,8698
208,6562
208,7516
209,5305
209,8871
209,9453
209,9624
209,9664
210,6215
213,9795
214,5657
214,7757
215,5796
215,7906
216,5713
217,6688
217,7133
217,7175
217,7506
217,7776
217,9990
218,6650
218,7142
218,9546
219,7458
219,7826
219,9695
220,7451
220,7695
221,6116
222,7804
222,8033
222,8086
222,8834
223,6096
224,7443
224,8454
225,5965
225,6124
225,8470
226,5444
226,5659
226,8620
227,7418
227,9253
227,9512
229,7761
230,5813
230,6666
230,7785
230,8711
231,5121
231,5956
231,9744
232,8199
232,8423
233,9899
234,6918
235,5446
235,7903
235,9047
236,6694
237,8425
237,9055
238,7357
238,8902
239,5224
239,6368
239,8994
239,9619
240,8436
241,6988
241,7170
242,6437
242,6996
242,8246
243,5131
243,6084
243,6143
243,9950
244,5352
244,5829
244,9026
244,9858
245,9103
246,6519
246,7166
246,7187
247,8101
247,8280
248,5826
248,7167
249,5006
249,7352
249,9428
250,5778
250,8927
250,9123
250,9624
251,6978
251,7709
251,9451
252,5733
252,7247
252,8356
253,6096
253,6900
253,9327
253,9959
254,5538
254,5796
254,6224
254,6479
254,8014
255,5886
255,6296
255,6784
255,8108
256,5687
257,8196
257,9683
258,5349
258,5561
258,5993
258,6510
258,6906
258,6935
258,8463
258,9105
260,6426
260,8038
261,5429
261,5699
261,9755
262,6105
263,5227
263,6934
263,8202
263,9364
263,9772
263,9878
