node_id,edges
0,"[(0, 395), (0, 3518), (0, 4102), (0, 4351), (0, 5229), (0, 8309), (0, 9810)]"
1,"[(1, 1447), (1, 1900), (1, 3072), (1, 3077), (1, 4476)]"
2,"[(2, 1072), (2, 9781)]"
3,"[(3, 2783)]"
4,"[(4, 46), (4, 1584), (4, 1951), (4, 2464), (4, 3096), (4, 5621), (4, 7902), (4, 9804)]"
5,"[(5, 3310), (5, 4975), (5, 8060), (5, 8495), (5, 8731)]"
6,"[(6, 6137), (6, 8066)]"
7,"[(7, 123), (7, 1129), (7, 4710), (7, 8034), (7, 9385), (7, 9562), (7, 9683), (7, 9955)]"
8,"[(8, 9), (8, 4099), (8, 7259), (8, 9603)]"
9,"[(9, 8), (9, 88), (9, 887), (9, 7771), (9, 7917), (9, 8022)]"
10,"[(10, 7271), (10, 9507), (10, 9993)]"
11,"[(11, 3260), (11, 3437), (11, 3815), (11, 6177), (11, 6373)]"
12,"[(12, 1956), (12, 9371)]"
13,"[(13, 2979), (13, 3089), (13, 4994), (13, 8211)]"
14,"[(14, 15), (14, 3142), (14, 5311), (14, 6218), (14, 6694), (14, 8950)]"
15,"[(15, 14), (15, 818), (15, 4020), (15, 7575)]"
16,"[(16, 301), (16, 2092), (16, 2424), (16, 3051), (16, 3607), (16, 4146), (16, 9212), (16, 9323)]"
17,"[(17, 3494), (17, 3757), (17, 5156), (17, 6152), (17, 8663)]"
18,"[(18, 5057), (18, 8448), (18, 8848)]"
19,"[(19, 1898), (19, 3703), (19, 4708), (19, 5639)]"
20,"[(20, 1995), (20, 3081)]"
21,"[(21, 1978), (21, 2532), (21, 3861), (21, 5037), (21, 5585), (21, 6526), (21, 8939), (21, 9394), (21, 9623)]"
22,"[(22, 350), (22, 1723), (22, 5718)]"
23,"[(23, 429), (23, 3022)]"
24,"[(24, 1576), (24, 5588), (24, 6753), (24, 9089), (24, 9487)]"
25,"[(25, 443), (25, 3428), (25, 6104), (25, 7822), (25, 9016), (25, 9041)]"
26,"[(26, 1110), (26, 3832), (26, 3941), (26, 4215), (26, 5168), (26, 7425), (26, 9339)]"
27,"[(27, 671), (27, 1208), (27, 1259), (27, 4102), (27, 4943), (27, 6249), (27, 6822), (27, 6846), (27, 7796)]"
28,"[(28, 318), (28, 988), (28, 6548)]"
29,"[(29, 2060), (29, 2308), (29, 2750), (29, 6791), (29, 7744)]"
30,"[(30, 1729), (30, 3301), (30, 5139), (30, 6388), (30, 9832)]"
31,"[(31, 935), (31, 3219), (31, 4546), (31, 6181)]"
32,"[(32, 708), (32, 6324), (32, 7957)]"
33,"[(33, 4264)]"
34,"[(34, 130), (34, 1536), (34, 8148), (34, 8229), (34, 9902)]"
35,"[(35, 69), (35, 927), (35, 4924), (35, 4929), (35, 5045), (35, 7653)]"
36,"[(36, 963), (36, 2642), (36, 4662), (36, 7017)]"
37,"[(37, 2506), (37, 4859), (37, 5742)]"
38,"[(38, 673), (38, 7999), (38, 8002), (38, 8686)]"
39,"[(39, 4675), (39, 6327), (39, 6392), (39, 6873), (39, 7814), (39, 9815)]"
40,"[(40, 2468), (40, 2487), (40, 9590)]"
41,"[(41, 425), (41, 570), (41, 690), (41, 2355), (41, 2729), (41, 7691), (41, 9960)]"
42,"[(42, 1064), (42, 2670), (42, 3948)]"
43,"[(43, 212), (43, 335), (43, 447), (43, 3186), (43, 9181)]"
44,"[(44, 4540), (44, 5278), (44, 6876), (44, 7449)]"
45,"[(45, 1123), (45, 2623), (45, 4269), (45, 6358), (45, 8663)]"
46,"[(46, 4), (46, 1803), (46, 2830), (46, 3585), (46, 7528), (46, 8519)]"
47,"[(47, 1643), (47, 6192), (47, 6678), (47, 9324)]"
48,"[(48, 689), (48, 1474)]"
49,"[(49, 244), (49, 1162), (49, 1543), (49, 1815), (49, 4774), (49, 7074), (49, 7822), (49, 9251)]"
50,"[(50, 892), (50, 1745), (50, 1807), (50, 4067), (50, 5618), (50, 7876), (50, 8223), (50, 9115)]"
51,"[(51, 1281), (51, 2640), (51, 3057), (51, 4171), (51, 9276)]"
52,"[(52, 578), (52, 894), (52, 1801), (52, 6138), (52, 9157)]"
53,"[(53, 2874), (53, 3624), (53, 4727), (53, 6741)]"
54,"[(54, 2993), (54, 4676), (54, 6384), (54, 8983)]"
55,"[(55, 5707), (55, 8536)]"
56,"[(56, 2829)]"
57,"[(57, 700), (57, 2813), (57, 3696), (57, 5120), (57, 6257)]"
58,"[(58, 4148), (58, 4659), (58, 6263), (58, 6550), (58, 7193), (58, 9240)]"
59,"[(59, 518), (59, 1288), (59, 1967), (59, 4135), (59, 4484), (59, 4878), (59, 6890), (59, 8535)]"
60,"[(60, 232)]"
61,"[(61, 449), (61, 3068), (61, 3969), (61, 7726)]"
62,"[(62, 1146), (62, 1943), (62, 1960), (62, 2668), (62, 4427), (62, 5137), (62, 6172)]"
63,"[(63, 335), (63, 546), (63, 1455), (63, 2816), (63, 4136)]"
64,"[(64, 3291), (64, 4155), (64, 8141), (64, 8322)]"
65,"[(65, 1091), (65, 5491), (65, 6265), (65, 7695)]"
66,"[(66, 6916), (66, 7561), (66, 8961)]"
67,"[(67, 2298), (67, 5247)]"
68,"[(68, 818), (68, 2193), (68, 4094), (68, 4514), (68, 7041)]"
69,"[(69, 35)]"
70,"[(70, 785), (70, 2340), (70, 3614), (70, 4724), (70, 8091), (70, 9855)]"
71,"[(71, 382), (71, 1509), (71, 2024), (71, 4598), (71, 5679), (71, 5739), (71, 6772)]"
72,"[(72, 2072), (72, 4106), (72, 4218), (72, 6084), (72, 6783), (72, 9218)]"
73,"[(73, 1259), (73, 2053), (73, 3732), (73, 5179), (73, 9959)]"
74,"[(74, 7245), (74, 7279), (74, 7709), (74, 8110), (74, 9674)]"
75,"[(75, 2843), (75, 2860), (75, 4314), (75, 7494), (75, 7780), (75, 9168)]"
76,"[(76, 618), (76, 941), (76, 1085), (76, 2296), (76, 4493), (76, 4523), (76, 9056), (76, 9444)]"
77,"[(77, 249), (77, 2627), (77, 2958), (77, 3094), (77, 4527), (77, 4837), (77, 9791)]"
78,"[(78, 1728), (78, 2121), (78, 6448), (78, 9652)]"
79,"[(79, 6048), (79, 6397), (79, 6814), (79, 7162), (79, 8355), (79, 8478)]"
80,"[(80, 1474), (80, 4326), (80, 5144), (80, 6068), (80, 8316)]"
81,"[(81, 2804), (81, 3775), (81, 8129)]"
82,"[(82, 833), (82, 7144)]"
83,"[(83, 7408), (83, 7896)]"
84,"[(84, 513), (84, 2204), (84, 3657), (84, 3946), (84, 4935), (84, 7110)]"
85,"[(85, 4022), (85, 5384)]"
86,"[(86, 1917), (86, 5142), (86, 6477), (86, 9995)]"
87,"[(87, 156), (87, 3047), (87, 3533), (87, 5965)]"
88,"[(88, 9), (88, 775), (88, 796), (88, 6995), (88, 8496)]"
89,"[(89, 3958), (89, 6714), (89, 7490), (89, 8230), (89, 8508)]"
90,"[(90, 1775), (90, 5599), (90, 6715), (90, 9950)]"
91,"[(91, 2280), (91, 5755)]"
92,"[(92, 480), (92, 5175), (92, 5700), (92, 7703)]"
93,"[(93, 2689), (93, 7399), (93, 7672)]"
94,"[(94, 1158), (94, 4431), (94, 6372), (94, 7332), (94, 8739)]"
95,"[(95, 5219), (95, 7631)]"
96,"[(96, 1071), (96, 2954), (96, 4090), (96, 5488), (96, 6934), (96, 9558)]"
97,"[(97, 821), (97, 2815), (97, 5100), (97, 5310), (97, 5807), (97, 5851), (97, 6276), (97, 7021), (97, 8150)]"
98,"[(98, 826), (98, 6540), (98, 7430), (98, 9730)]"
